78.0,81.0,199.0,94.0,100.0,115.0,121.0,124.0,109.0,118.0,120.0,79.0,99.0,123.0,123.0,199.0,199.0,82.0,133.0,124.0,161.0,84.0,51.0,120.0,113.0,0.0
182.0,185.0,187.0,180.0,169.0,173.0,163.0,71.0,174.0,161.0,163.0,166.0,112.0,174.0,148.0,135.0,194.0,115.0,229.0,141.0,137.0,133.0,129.0,120.0,134.0,1.0
139.0,178.0,123.0,137.0,169.0,64.0,125.0,124.0,94.0,114.0,44.0,127.0,57.0,162.0,135.0,82.0,220.0,126.0,90.0,142.0,97.0,111.0,148.0,42.0,51.0,2.0
157.0,89.0,181.0,132.0,94.0,143.0,89.0,132.0,159.0,42.0,87.0,94.0,126.0,49.0,69.0,152.0,175.0,178.0,148.0,161.0,168.0,205.0,142.0,169.0,148.0,0.0
86.0,102.0,87.0,104.0,85.0,200.0,200.0,211.0,211.0,182.0,193.0,190.0,129.0,181.0,202.0,195.0,186.0,148.0,210.0,175.0,169.0,164.0,147.0,191.0,191.0,1.0
215.0,219.0,224.0,218.0,213.0,208.0,223.0,194.0,84.0,176.0,207.0,193.0,234.0,190.0,186.0,183.0,105.0,90.0,30.0,193.0,192.0,184.0,167.0,140.0,214.0,2.0
103.0,114.0,117.0,111.0,90.0,101.0,116.0,194.0,193.0,93.0,100.0,103.0,155.0,171.0,199.0,116.0,201.0,152.0,219.0,108.0,38.0,35.0,77.0,68.0,98.0,2.0
26.0,63.0,67.0,64.0,40.0,29.0,200.0,202.0,67.0,43.0,30.0,64.0,232.0,94.0,58.0,127.0,144.0,196.0,134.0,104.0,97.0,118.0,100.0,143.0,109.0,1.0
255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,227.0,255.0,255.0,255.0,255.0,136.0,255.0,255.0,254.0,255.0,186.0,254.0,253.0,0.0
222.0,162.0,158.0,169.0,193.0,209.0,210.0,90.0,151.0,215.0,171.0,111.0,137.0,105.0,203.0,235.0,250.0,91.0,149.0,253.0,223.0,224.0,217.0,213.0,208.0,0.0
114.0,119.0,132.0,126.0,118.0,110.0,121.0,176.0,117.0,101.0,92.0,93.0,145.0,91.0,109.0,97.0,88.0,163.0,131.0,95.0,96.0,102.0,104.0,120.0,95.0,1.0
107.0,88.0,175.0,47.0,57.0,83.0,112.0,54.0,165.0,23.0,59.0,150.0,132.0,135.0,11.0,119.0,166.0,124.0,115.0,103.0,98.0,71.0,200.0,94.0,145.0,2.0
193.0,127.0,80.0,52.0,38.0,180.0,42.0,145.0,42.0,69.0,153.0,102.0,76.0,79.0,65.0,44.0,95.0,40.0,40.0,155.0,155.0,137.0,127.0,100.0,205.0,2.0
41.0,62.0,205.0,237.0,232.0,31.0,179.0,89.0,211.0,150.0,71.0,90.0,168.0,129.0,87.0,93.0,98.0,162.0,118.0,107.0,68.0,74.0,210.0,100.0,115.0,1.0
142.0,156.0,154.0,134.0,111.0,143.0,166.0,170.0,163.0,113.0,123.0,125.0,130.0,230.0,115.0,102.0,132.0,144.0,136.0,115.0,86.0,95.0,105.0,200.0,69.0,0.0
